date,Open,High,Low,Close,Volume,symbol
2024-12-02,59.057,59.24,58.692,58.966,1229100,VNM.VN
2024-12-03,59.057,59.057,58.417,58.417,2425200,VNM.VN
2024-12-04,58.326,58.417,57.869,57.869,2745800,VNM.VN
2024-12-05,58.052,59.149,57.777,58.783,2218400,VNM.VN
2024-12-06,58.966,59.24,58.6,58.6,1677900,VNM.VN
2024-12-09,58.966,58.966,58.509,58.6,1762700,VNM.VN
2024-12-10,58.6,58.874,58.417,58.417,1711000,VNM.VN
2024-12-11,58.417,59.057,58.417,58.692,2024600,VNM.VN
2024-12-12,58.692,59.332,58.692,59.057,2249800,VNM.VN
2024-12-13,58.783,58.966,58.6,58.692,1396700,VNM.VN
2024-12-16,58.692,59.606,58.692,59.423,2387600,VNM.VN
2024-12-17,59.332,59.423,58.966,59.057,1204000,VNM.VN
2024-12-18,59.423,59.514,59.149,59.149,1614100,VNM.VN
2024-12-19,58.874,58.966,58.417,58.417,2626900,VNM.VN
2024-12-20,58.509,59.423,58.509,59.423,3799600,VNM.VN
2024-12-23,59.149,59.423,58.783,58.874,1347800,VNM.VN
2024-12-24,58.874,59.149,58.6,58.783,1287000,VNM.VN
2024-12-25,58.874,59.332,58.874,58.874,1302500,VNM.VN
2024-12-26,59.153,59.153,58.784,58.784,1708800,VNM.VN
2024-12-27,58.877,59.061,58.692,58.784,2443700,VNM.VN
2024-12-30,58.6,58.692,58.324,58.324,1490800,VNM.VN
2024-12-31,58.416,58.784,58.324,58.416,1641900,VNM.VN
2025-01-02,58.6,58.784,58.139,58.139,1336600,VNM.VN
2025-01-03,58.232,58.324,57.955,58.047,1776700,VNM.VN
2025-01-06,58.047,58.232,57.587,57.587,2103500,VNM.VN
2025-01-07,57.679,58.047,56.757,56.85,2802100,VNM.VN
2025-01-08,57.126,57.218,56.389,56.85,2053300,VNM.VN
2025-01-09,56.942,57.034,56.481,56.942,1500000,VNM.VN
2025-01-10,56.85,57.034,56.481,56.481,1189800,VNM.VN
2025-01-13,56.389,57.034,56.297,56.573,1101700,VNM.VN
2025-01-14,56.573,56.942,56.481,56.757,1147600,VNM.VN
2025-01-15,57.218,57.402,56.85,56.85,1216400,VNM.VN
2025-01-16,57.402,57.679,56.85,57.034,1684500,VNM.VN
2025-01-17,57.31,57.31,57.126,57.126,889400,VNM.VN
2025-01-20,57.126,57.31,56.757,57.034,1633600,VNM.VN
2025-01-21,57.126,57.218,56.757,56.942,1403900,VNM.VN
2025-01-22,57.126,57.126,56.757,56.757,1760900,VNM.VN
2025-01-23,56.757,57.402,56.757,57.126,1781300,VNM.VN
2025-01-24,57.034,57.587,56.942,57.31,1576400,VNM.VN
2025-02-03,57.31,57.31,55.744,55.744,7279900,VNM.VN
2025-02-04,55.836,56.112,55.283,55.467,7125000,VNM.VN
2025-02-05,55.652,56.665,55.652,56.665,3198100,VNM.VN
2025-02-06,56.665,56.757,55.744,55.928,3024800,VNM.VN
2025-02-07,55.928,56.389,55.836,56.02,2552300,VNM.VN
2025-02-10,56.389,56.389,55.836,55.836,2592100,VNM.VN
2025-02-11,55.836,55.928,55.375,55.652,3433800,VNM.VN
2025-02-12,55.836,56.205,55.744,56.205,2756600,VNM.VN
2025-02-13,56.205,56.205,55.652,55.928,2576800,VNM.VN
2025-02-14,55.928,55.928,55.56,55.56,6401800,VNM.VN
2025-02-17,55.652,55.836,55.283,55.283,3612400,VNM.VN
2025-02-18,55.652,55.744,55.283,55.56,2436800,VNM.VN
2025-02-19,55.56,56.112,55.56,56.02,3072700,VNM.VN
2025-02-20,56.112,56.112,55.836,55.928,2627900,VNM.VN
2025-02-21,56.02,57.218,55.836,56.573,4717200,VNM.VN
2025-02-24,56.757,58.877,56.757,58.784,11512800,VNM.VN
2025-02-25,58.969,58.969,57.679,57.955,3884200,VNM.VN
2025-02-26,58.047,58.416,57.955,58.139,3636600,VNM.VN
2025-02-27,58.232,58.232,57.31,57.31,3520600,VNM.VN
2025-02-28,57.402,58.232,57.31,57.31,4175600,VNM.VN
2025-03-03,57.863,58.232,57.402,58.232,3610600,VNM.VN
2025-03-04,58.232,58.784,57.955,58.508,6042000,VNM.VN
2025-03-05,58.6,58.6,57.771,57.771,2275500,VNM.VN
2025-03-06,57.771,57.955,57.31,57.955,3125600,VNM.VN
2025-03-07,57.955,58.047,57.494,57.771,2655600,VNM.VN
2025-03-10,58.047,58.047,57.587,57.587,2529500,VNM.VN
2025-03-11,57.402,57.587,57.218,57.494,2287600,VNM.VN
2025-03-12,57.587,57.863,57.31,57.31,2755400,VNM.VN
2025-03-13,57.402,57.955,57.034,57.126,5100400,VNM.VN
2025-03-14,57.494,57.771,57.218,57.218,2696700,VNM.VN
2025-03-17,57.494,58.416,57.494,58.047,4062100,VNM.VN
2025-03-18,58.139,58.139,57.587,57.587,3281900,VNM.VN
2025-03-19,57.771,57.863,57.034,57.402,3038400,VNM.VN
2025-03-20,57.31,57.31,56.481,56.942,3888200,VNM.VN
2025-03-21,56.942,56.942,56.389,56.481,3325900,VNM.VN
2025-03-24,56.573,57.126,56.297,56.573,2488900,VNM.VN
2025-03-25,56.85,56.85,56.389,56.573,2323000,VNM.VN
2025-03-26,56.665,57.034,56.389,56.389,1846000,VNM.VN
2025-03-27,56.389,56.665,56.297,56.297,2230500,VNM.VN
2025-03-28,56.205,56.297,55.467,55.56,5430100,VNM.VN
2025-03-31,56.02,56.757,55.836,55.836,5301500,VNM.VN
2025-04-01,56.389,56.389,55.56,56.02,3129300,VNM.VN
2025-04-02,55.928,56.573,55.744,55.744,4684400,VNM.VN
2025-04-03,54.822,54.915,51.874,52.058,16938200,VNM.VN
2025-04-04,49.755,54.177,49.571,53.901,9776600,VNM.VN
2025-04-08,52.243,52.427,50.216,50.216,13324100,VNM.VN
2025-04-09,47.359,50.861,47.359,47.912,9882600,VNM.VN
2025-04-10,51.229,51.229,51.229,51.229,1514300,VNM.VN
2025-04-11,51.229,53.809,51.229,52.98,9164400,VNM.VN
2025-04-14,53.348,53.348,52.058,52.427,5479700,VNM.VN
2025-04-15,52.243,52.98,51.874,51.874,4163500,VNM.VN
2025-04-16,51.966,52.703,51.598,51.598,3735600,VNM.VN
2025-04-17,51.137,52.15,50.492,51.598,7219000,VNM.VN
2025-04-18,52.243,52.795,52.15,52.15,3037200,VNM.VN
2025-04-21,52.335,52.611,52.058,52.243,3021400,VNM.VN
2025-04-22,52.15,52.15,49.663,51.598,6955000,VNM.VN
2025-04-23,52.335,52.795,51.966,51.966,3586000,VNM.VN
2025-04-24,52.058,52.335,51.782,51.874,1956400,VNM.VN
2025-04-25,52.058,53.717,52.058,53.717,8119700,VNM.VN
2025-04-28,53.717,53.717,52.98,52.98,2664700,VNM.VN
2025-04-29,52.98,53.348,52.703,53.072,2556000,VNM.VN
2025-05-05,52.98,53.072,52.427,52.427,4238300,VNM.VN
2025-05-06,52.519,52.888,52.427,52.427,2502600,VNM.VN
2025-05-07,52.427,53.164,52.427,52.703,2905500,VNM.VN
2025-05-08,52.703,53.256,52.703,52.888,3262200,VNM.VN
2025-05-09,53.164,53.993,53.164,53.164,3832400,VNM.VN
2025-05-12,53.44,54.085,53.44,53.993,5863100,VNM.VN
2025-05-13,54.27,54.362,53.717,52.058,4352200,VNM.VN
2025-05-14,54.446,54.446,53.587,53.682,5034700,VNM.VN
2025-05-15,53.682,54.446,53.682,54.255,4092100,VNM.VN
2025-05-16,54.255,54.255,53.682,53.682,3198400,VNM.VN
2025-05-19,53.682,54.446,53.491,53.491,2795600,VNM.VN
2025-05-20,53.587,53.778,53.3,53.396,3224100,VNM.VN
2025-05-21,53.491,53.491,52.918,52.918,4464400,VNM.VN
2025-05-22,52.918,53.109,52.536,52.536,2665200,VNM.VN
2025-05-23,52.727,53.014,52.632,52.823,1666700,VNM.VN
2025-05-26,52.918,53.3,52.536,53.205,2729200,VNM.VN
2025-05-27,53.396,53.491,52.823,52.918,3680800,VNM.VN
2025-05-28,53.205,53.205,52.632,52.727,3901700,VNM.VN
