date,Open,High,Low,Close,Volume,symbol
2024-12-02,22.457,22.624,22.291,22.416,18575600,HPG.VN
2024-12-03,22.374,22.499,22.166,22.499,15812100,HPG.VN
2024-12-04,22.374,22.374,22.207,22.249,12508500,HPG.VN
2024-12-05,22.249,23.207,21.999,23.207,44746700,HPG.VN
2024-12-06,23.207,23.249,22.916,22.999,23751300,HPG.VN
2024-12-09,23.041,23.249,22.916,23.041,15948700,HPG.VN
2024-12-10,23.082,23.499,22.999,23.249,32689300,HPG.VN
2024-12-11,23.249,23.457,22.999,23.124,17031500,HPG.VN
2024-12-12,23.124,23.249,22.791,22.916,20965100,HPG.VN
2024-12-13,22.749,22.832,22.582,22.666,17265900,HPG.VN
2024-12-16,22.666,22.791,22.374,22.499,16652700,HPG.VN
2024-12-17,22.499,22.582,22.374,22.499,10809400,HPG.VN
2024-12-18,22.499,22.791,22.457,22.791,12794200,HPG.VN
2024-12-19,22.499,22.624,22.332,22.374,30331800,HPG.VN
2024-12-20,22.374,22.457,22.249,22.249,13746900,HPG.VN
2024-12-23,22.291,22.541,22.291,22.499,12898800,HPG.VN
2024-12-24,22.416,22.416,22.166,22.249,13462400,HPG.VN
2024-12-25,22.291,22.624,22.291,22.624,17144300,HPG.VN
2024-12-26,22.624,22.666,22.374,22.499,9975100,HPG.VN
2024-12-27,22.499,22.499,22.332,22.374,11389200,HPG.VN
2024-12-30,22.332,22.374,22.207,22.291,12168200,HPG.VN
2024-12-31,22.291,22.291,22.166,22.207,10247400,HPG.VN
2025-01-02,22.249,22.541,22.249,22.499,14961200,HPG.VN
2025-01-03,22.416,22.499,22.166,22.166,13200100,HPG.VN
2025-01-06,22.166,22.249,21.707,21.707,15250500,HPG.VN
2025-01-07,21.791,21.999,21.707,21.707,14399600,HPG.VN
2025-01-08,21.707,21.874,21.624,21.874,12957600,HPG.VN
2025-01-09,21.916,21.916,21.582,21.666,9236900,HPG.VN
2025-01-10,21.666,21.749,21.291,21.291,14273600,HPG.VN
2025-01-13,21.291,21.707,21.207,21.582,13576000,HPG.VN
2025-01-14,21.624,21.666,21.499,21.541,7660700,HPG.VN
2025-01-15,21.666,21.874,21.582,21.832,11221600,HPG.VN
2025-01-16,21.916,22.041,21.707,21.916,11206800,HPG.VN
2025-01-17,21.916,22.082,21.749,22.082,13950100,HPG.VN
2025-01-20,22.082,22.291,22.041,22.041,9654200,HPG.VN
2025-01-21,22.166,22.166,21.832,21.916,10421500,HPG.VN
2025-01-22,21.999,21.999,21.791,21.791,10280000,HPG.VN
2025-01-23,21.832,22.291,21.791,22.207,15792000,HPG.VN
2025-01-24,22.207,22.207,22.041,22.124,10401300,HPG.VN
2025-02-03,22.082,22.166,21.874,21.999,16971700,HPG.VN
2025-02-04,22.082,22.499,22.041,22.374,17358200,HPG.VN
2025-02-05,22.374,22.499,22.291,22.332,14466500,HPG.VN
2025-02-06,22.332,22.457,22.291,22.332,13535000,HPG.VN
2025-02-07,22.332,22.332,22.166,22.207,12547400,HPG.VN
2025-02-10,22.082,22.082,21.166,21.166,61096500,HPG.VN
2025-02-11,21.207,21.749,21.207,21.749,28896000,HPG.VN
2025-02-12,21.832,21.832,21.541,21.541,13651300,HPG.VN
2025-02-13,21.624,21.666,21.541,21.582,9499100,HPG.VN
2025-02-14,21.749,21.916,21.666,21.749,18580600,HPG.VN
2025-02-17,21.791,21.874,21.707,21.791,14369400,HPG.VN
2025-02-18,21.957,22.166,21.916,22.124,24939500,HPG.VN
2025-02-19,22.166,22.166,21.999,22.082,13653000,HPG.VN
2025-02-20,22.124,22.166,22.082,22.124,11910400,HPG.VN
2025-02-21,22.124,22.166,21.999,22.041,11063800,HPG.VN
2025-02-24,23.582,23.582,22.957,23.082,73891100,HPG.VN
2025-02-25,22.999,23.082,22.666,22.916,31575300,HPG.VN
2025-02-26,22.999,23.291,22.957,23.124,31819600,HPG.VN
2025-02-27,23.166,23.707,22.999,23.707,51120800,HPG.VN
2025-02-28,23.666,23.666,23.291,23.332,24214400,HPG.VN
2025-03-03,23.374,23.541,23.332,23.374,20663700,HPG.VN
2025-03-04,23.374,23.374,23.041,23.207,27424100,HPG.VN
2025-03-05,23.207,23.249,22.957,22.957,30385500,HPG.VN
2025-03-06,22.999,23.291,22.999,23.291,36975600,HPG.VN
2025-03-07,23.332,23.416,23.124,23.374,33131200,HPG.VN
2025-03-10,23.416,23.499,23.291,23.291,23580500,HPG.VN
2025-03-11,22.999,23.457,22.999,23.457,26088500,HPG.VN
2025-03-12,23.499,23.499,23.166,23.166,20641600,HPG.VN
2025-03-13,23.207,23.374,23.082,23.082,24809400,HPG.VN
2025-03-14,23.082,23.207,22.957,22.957,18279900,HPG.VN
2025-03-17,23.249,23.457,23.124,23.207,19719700,HPG.VN
2025-03-18,23.249,23.374,22.999,22.999,18741700,HPG.VN
