date,Open,High,Low,Close,Volume,symbol
2024-12-02,35.613,35.712,35.414,35.563,4468300,CTG.VN
2024-12-03,35.662,35.662,35.166,35.613,5261300,CTG.VN
2024-12-04,35.315,35.414,35.018,35.018,4137800,CTG.VN
2024-12-05,35.018,36.208,34.77,36.109,10395100,CTG.VN
2024-12-06,36.208,36.357,35.96,35.96,5625800,CTG.VN
2024-12-09,35.861,36.208,35.762,36.158,4392500,CTG.VN
2024-12-10,36.158,36.208,35.811,36.059,3293400,CTG.VN
2024-12-11,36.01,36.307,35.91,36.059,4390000,CTG.VN
2024-12-12,36.109,36.506,35.91,36.01,5010500,CTG.VN
2024-12-13,35.861,36.208,35.811,36.059,4180300,CTG.VN
2024-12-16,36.059,36.406,35.91,35.96,2866500,CTG.VN
2024-12-17,35.96,36.059,35.762,35.96,3429900,CTG.VN
2024-12-18,35.91,36.109,35.514,35.96,2933300,CTG.VN
2024-12-19,35.563,35.91,35.315,35.91,6319500,CTG.VN
2024-12-20,35.712,35.861,35.414,35.861,3418200,CTG.VN
2024-12-23,35.91,36.01,35.811,35.96,3097200,CTG.VN
2024-12-24,35.811,35.91,35.613,35.91,2831100,CTG.VN
2024-12-25,35.91,38.39,35.91,37.894,25190700,CTG.VN
2024-12-26,38.093,38.093,37.696,37.894,4847100,CTG.VN
2024-12-27,38.043,38.49,37.696,38.49,9539300,CTG.VN
2024-12-30,38.192,38.589,38.043,38.589,7210600,CTG.VN
2024-12-31,38.291,38.39,37.498,37.498,5449700,CTG.VN
2025-01-02,37.696,37.994,37.299,37.795,5742600,CTG.VN
2025-01-03,37.498,37.696,36.902,36.902,10284500,CTG.VN
2025-01-06,36.952,37.349,36.754,36.902,6045300,CTG.VN
2025-01-07,37.2,37.696,36.853,37.15,6267400,CTG.VN
2025-01-08,37.101,37.597,36.952,37.498,3664700,CTG.VN
2025-01-09,37.498,37.597,36.952,37.101,4056700,CTG.VN
2025-01-10,37.101,37.894,36.902,37.2,7501000,CTG.VN
2025-01-13,36.902,37.398,35.91,37.398,9377500,CTG.VN
2025-01-14,37.15,37.597,36.605,36.654,3716700,CTG.VN
2025-01-15,36.704,36.803,36.307,36.456,4980700,CTG.VN
2025-01-16,36.555,36.902,36.109,36.506,6641100,CTG.VN
2025-01-17,36.506,36.902,36.307,36.902,3948300,CTG.VN
2025-01-20,36.952,37.398,36.853,37.002,4400000,CTG.VN
2025-01-21,37.15,37.498,36.754,37.002,5502600,CTG.VN
2025-01-22,37.299,37.299,36.952,37.002,4497700,CTG.VN
2025-01-23,37.101,37.894,37.002,37.795,7583800,CTG.VN
2025-01-24,37.795,37.845,37.448,37.696,5047600,CTG.VN
2025-02-03,37.944,38.291,37.498,37.746,8325900,CTG.VN
2025-02-04,37.944,39.432,37.746,39.085,14538400,CTG.VN
2025-02-05,39.333,39.382,38.787,39.035,6686000,CTG.VN
2025-02-06,39.085,39.531,38.886,39.184,6527700,CTG.VN
2025-02-07,39.184,40.87,38.936,40.474,14973700,CTG.VN
2025-02-10,40.474,40.771,39.73,39.978,9535800,CTG.VN
2025-02-11,40.027,40.573,39.829,40.374,7621400,CTG.VN
2025-02-12,40.374,40.474,40.077,40.176,4835000,CTG.VN
2025-02-13,39.978,40.97,39.978,40.523,6945200,CTG.VN
2025-02-14,40.672,41.019,40.176,40.226,5515600,CTG.VN
2025-02-17,40.176,40.325,39.829,39.829,5951900,CTG.VN
2025-02-18,39.829,40.672,39.73,39.978,6539300,CTG.VN
2025-02-19,40.226,40.622,40.126,40.176,6136000,CTG.VN
2025-02-20,40.722,40.722,40.126,40.523,5265200,CTG.VN
2025-02-21,40.523,41.168,40.176,41.168,7710600,CTG.VN
2025-02-24,41.168,41.614,41.019,41.565,6764800,CTG.VN
2025-02-25,41.614,41.763,41.069,41.515,5728900,CTG.VN
2025-02-26,41.466,41.466,40.771,41.019,9430900,CTG.VN
2025-02-27,40.92,41.218,40.523,41.168,6079700,CTG.VN
2025-02-28,40.97,41.267,40.672,41.168,5529300,CTG.VN
2025-03-03,40.87,40.92,40.523,40.92,7674500,CTG.VN
2025-03-04,40.672,41.466,40.474,41.267,7443800,CTG.VN
2025-03-05,41.267,41.912,40.821,40.87,7812100,CTG.VN
2025-03-06,41.069,41.416,40.87,41.317,5639200,CTG.VN
2025-03-07,41.366,42.061,41.317,42.061,10858900,CTG.VN
2025-03-10,42.358,42.358,41.763,42.11,9163000,CTG.VN
2025-03-11,41.664,42.259,41.466,42.259,6943500,CTG.VN
2025-03-12,42.458,42.954,41.962,42.309,9350500,CTG.VN
2025-03-13,42.358,42.358,41.813,41.962,7914900,CTG.VN
2025-03-14,41.714,41.962,41.466,41.962,7787700,CTG.VN
2025-03-17,41.962,42.259,41.862,42.259,3459900,CTG.VN
2025-03-18,42.557,42.557,41.614,41.664,5406700,CTG.VN
2025-03-19,41.565,41.664,41.069,41.218,8668600,CTG.VN
2025-03-20,41.218,41.466,40.672,41.267,8810000,CTG.VN
2025-03-21,41.267,41.317,40.722,41.317,7361100,CTG.VN
2025-03-24,41.069,41.466,40.771,41.466,6851700,CTG.VN
2025-03-25,41.614,41.962,41.366,41.962,5036300,CTG.VN
2025-03-26,41.912,42.11,41.267,41.416,5469500,CTG.VN
2025-03-27,41.069,41.416,40.92,41.267,3508800,CTG.VN
2025-03-28,41.168,41.218,40.821,41.019,4092900,CTG.VN
2025-03-31,40.87,41.118,40.573,41.118,4619700,CTG.VN
2025-04-01,41.317,41.515,40.722,41.515,4737500,CTG.VN
2025-04-02,41.614,41.962,41.366,41.614,5575900,CTG.VN
2025-04-03,40.374,40.374,38.738,38.738,19835700,CTG.VN
